Date;Price in $
1996-03-31;38.0
1996-02-29;34.0
1996-01-31;32.0
1995-12-31;29.0
1995-11-30;29.0
1995-10-31;29.0
1995-09-30;29.0
1995-08-31;29.0
1995-07-31;29.0
1995-06-30;25.0
1995-05-31;25.0
1995-04-30;25.0
1995-03-31;27.0
1995-02-28;27.0
1995-01-31;27.0
1994-12-31;27.0
1994-11-30;27.0
1994-10-31;22.0
1994-09-30;18.0
1994-08-31;18.0
1994-07-31;18.0
1994-06-30;18.0
1994-05-31;18.0
1994-04-30;18.0
1994-03-31;18.0
1994-02-28;18.0
1994-01-31;18.0
1993-12-31;18.0
1993-11-30;18.0
1993-10-31;18.0
1993-09-30;18.0
1993-08-31;18.0
1993-07-31;20.0
1993-06-30;20.0
1993-05-31;20.0
1993-04-30;20.0
1993-03-31;22.0
1993-02-28;22.0
1993-01-31;25.0
1992-12-31;25.0
1992-11-30;25.0
1992-10-31;30.0
1992-09-30;32.0
1992-08-31;32.0
1992-07-31;32.0
